- Ant-RC05 | Ant-RC05 5dBi Panel Antenna | Fixed RFID Readers | Stably and read multi-tags under a moderate range accurately
- Ant-RC09 | Ant-RC09 9dBi Panel Antenna | Fixed RFID Readers | Fast read & write, high performance, convenient, long read & write distance
- Ant-RC12 | Ant-RC12 12dBi Panel Antenna | Fixed RFID Readers | Fast read & write, high performance, Long read & write distance
- C5 | C5 Fingerprint Scanner (Android 11/13) | Biometric Readers | Integrated RFID Reader, Fingerprint Recognition etc.
- C5 | C5 UHF RFID Reader (Android 11/13) | Handheld RFID Readers | Integrated RFID Reader, Optional Fingerprint Recognition etc.
- C6000 | C6000 Mobile Computer (Android 10/13) | Mobile Computers | Rugged and Portable, 2m Drop Proof, Supports 1D/2D, NFC, camera and more
- C61 | C61 Cold Storage Mobile Computer (Android 11/13) | Mobile Computers | Optional 27keys/37keys/47keys, Powerful Removable Battery
- C61 | C61 Mobile Computer (Android 11/13) | Mobile Computers | Optional 27keys/37keys/47keys, Powerful Removable Battery
- C61 | C61 UHF RFID Reader (Android 11/13) | Handheld RFID Readers | Superior UHF Performance (Impinj E Series chips, Up to 30m)
- C63 | C63 Cold Storage Mobile Computer (Android 13) | Mobile Computers | 5600mAh low-temperature battery, active heating for display and scan window
- C63 | C63 Mobile Computer (Android 13) | Mobile Computers | The Flagship Keypad Handheld For Next-Level Industrial Data Capture.
- C66 | C66 Built-in RFID Reader (Android 11/13) | Handheld RFID Readers | Portable Built-in RFID Reader, Based on Impinj E Series chips, 5.5" IPS Display
- C66 | C66 Fingerprint Scanner (Android 11/13) | Biometric Readers | Biometric Reader, 5.5" IPS Display, Qualcomm Snapdragon™ 662 Octa-core
- C66 | C66 Mobile Computer (Android 11/13) | Mobile Computers | Optional Barcode or RFID Scanning, Fingerprint Recognition, NFC, etc.
- C66 | C66 UHF RFID Reader (Android 11/13) | Handheld RFID Readers | Stronger UHF Performance (Impinj E Series chips)
- C66 | C66 Wi-Fi Only (Android 11) | Mobile Computers | WiFi-6-ready, Qualcomm Snapdragon™ 662, 5.5" Display
- C70 | C70 Mobile Computer (Android 11) | Mobile Computers | Ultra Thin & Light, 5.2" IPS 1080P Screen, 1.8m Drop Proof
- C70 | C70 Mobile Computer with Thermometer | Mobile Computers | Non-contact Temperature Measurement, 5.2" IPS 1080P Screen, 1.8m Drop Proof
- C71 | C71 Biometrics Reader (Android 11/13) | Biometric Readers | Accurate Fingerprint Reading and Facial Recognition, 5.2" IPS 1080P Screen
- C71 | C71 Built-in RFID Reader (Android 11/13) | Handheld RFID Readers | Lightweight and Portable, Built-in RFID (Impinj E Series chips, Up to 4m)
- C71 | C71 Mobile Computer (Android 11/13) | Mobile Computers | Abundant Functions, Optional Barcode / RFID/ Fingerprint / NFC Scanning, etc.
- C71 | C71 Optical Fingerprint Scanner (Android 11/13) | Biometric Readers | With FBI Certified Morpho Fingerprint, 1/2D Barcode Scanning, NFC, etc.
- C72 | C72 Mobile Computer (Android 11/13) | Mobile Computers | Ultimate Barcode Scanning, 8000mAh Powerful Battery, Easy to Hold
- C72 | C72 UHF RFID Reader (Android 11/13) | Handheld RFID Readers | Best-in-Class UHF RFID Performance, Trusted by the Industry.
- C75 | C75 Mobile Computer with Printer | Mobile Computers | Can be configured with thermal printer, 1D / 2D, PSAM, NFC, camera and more
- C90 | C90 Mobile Computer (Android 10/14) | Mobile Computers | 5.7" IPS Display, Supports Dual-Camera, Barcode Scanning, NFC, etc
- C90A | C90A Mobile Computer (Android 14) | Mobile Computers | Larger Display, Lighter Weight, Stronger Performance.
- CHAINWAY | CHAINWAY Keyboardemulator | Mobility Family | Support Middleware Development, Promote Convenience
- CHAINWAY | CHAINWAY RFIDlinked | RFID Software | RFID Data Collection, Printing, Tagging, EPC Compliance, and more.
- CHAINWAY | CHAINWAY SafeUEM | Mobility Family | All-in-one Platform Management
- CHAINWAY | CHAINWAY VelocityEmulator | Mobility Family | Support Applications Migration Easily
- CM2000-1 | CM2000-1 UHF RFID Module (1-Port) | RFID Modules | With high integration level, it enables reliable UHF RFID performance
- CM2000-4 | CM2000-4 UHF RFID Module (4-Port) | RFID Modules | Reading tags with high stability and receiving sensitivity
- CM310-1 | CM310-1 UHF RFID Module (1-Port) | RFID Modules | Impinj E310 Chip, 1-Port RFID Module
- CM-3N | CM-3N UHF RFID Module (1-Port) | RFID Modules | Impinj E310 Chip, RFID Module
- CM510-1 | CM510-1 UHF RFID Module (1-Port) | RFID Modules | Impinj E510 Chip, 1-Port RFID Module
- CM-5N | CM-5N UHF RFID Module (1-Port) | RFID Modules | Impinj E510 Chip, RFID Module
- CM710-1 | CM710-1 UHF RFID Module (1-Port) | RFID Modules | Impinj E710 Chip, 1-Port RFID Module
- CM710-16 | CM710-16 UHF RFID Module (16-Port) | RFID Modules | Impinj E710 chip, 16-Port RFID module
